category_id,num_contracts,total_spans,spans_per_contract,top1_contract_share,top3_contract_share,hhi,category_name,flag_single_contract_heavy
exclusivity,117.0,274.0,2.341880341880342,0.043795620437956206,0.09854014598540145,0.013453034258617937,Exclusivity,False
revenue_profit_sharing,103.0,269.0,2.6116504854368934,0.040892193308550186,0.10037174721189591,0.015878719199568826,Revenue/Profit Sharing,False
uncapped_liability,78.0,123.0,1.5769230769230769,0.04065040650406504,0.11382113821138212,0.01725163593099345,Uncapped Liability,False
audit_rights,139.0,417.0,3.0,0.03836930455635491,0.10071942446043165,0.013554623926757874,Audit Rights,False
cap_on_liability,184.0,458.0,2.489130434782609,0.034934497816593885,0.07205240174672489,0.009134074483705498,Cap On Liability,False
renewal_term,120.0,144.0,1.2,0.034722222222222224,0.07638888888888888,0.010127314814814815,Renewal Term,False
license_grant,163.0,530.0,3.2515337423312882,0.03018867924528302,0.07924528301886792,0.010857956568173725,License Grant,False
termination_for_convenience,123.0,165.0,1.3414634146341464,0.024242424242424242,0.06666666666666667,0.00988062442607897,Termination For Convenience,False
anti_assignment,235.0,408.0,1.7361702127659575,0.01715686274509804,0.04901960784313726,0.0059232026143790865,Anti-Assignment,False
governing_law,274.0,290.0,1.0583941605839415,0.006896551724137931,0.020689655172413793,0.0038287752675386444,Governing Law,False
